Customer_ID,Age,Gender,Education,Occupation,Annual_Income,Avg_Monthly_Balance,Credit_Limit,Utilization_Ratio,Loan_Amount,EMI_to_Income,Mobile_App_Usage_Days,Internet_Banking_Frequency,Savings_Account,Credit_Card,Home_Loan,Personal_Loan,Insurance,Mutual_Fund,FD,Cross_Sell_Accepted
64,49,Female,Undergraduate,Salaried,564848,234237,797542,0.64,1662661,0.54,12,58,1,0,0,1,0,0,1,1
65,38,Male,Post-Graduate,Salaried,359092,434473,350298,0.59,20382,0.48,12,34,0,1,0,1,0,0,1,1
66,46,Female,Undergraduate,Self-Employed,2985545,28327,737632,0.2,1926543,0.37,6,51,1,1,0,0,1,1,0,1
67,64,Male,Undergraduate,Salaried,2385459,372167,87339,0.84,752058,0.59,13,30,0,0,0,1,1,0,1,0
68,54,Male,Post-Graduate,Business,2555608,474520,687879,0.82,1361337,0.29,9,49,1,1,0,0,0,0,0,1
69,30,Male,Undergraduate,Professional,1411569,165938,260868,0.8,2658979,0.51,25,23,0,0,1,0,0,1,1,0
70,56,Female,Undergraduate,Professional,2232689,185721,711954,0.41,904952,0.5,9,4,1,1,0,0,0,1,1,1
71,34,Female,Graduate,Salaried,2102364,412382,63185,0.79,935424,0.55,21,35,1,1,0,0,1,1,1,0
72,51,Male,Graduate,Business,670177,106279,193644,0.81,1476884,0.59,3,14,1,0,0,0,1,0,1,0
73,35,Male,Graduate,Professional,1902891,223406,155784,0.95,1516452,0.32,13,22,1,1,0,0,0,0,0,0
74,28,Female,Post-Graduate,Salaried,2278847,281186,460785,0.91,536325,0.16,6,30,1,0,0,1,0,0,0,1
75,34,Female,Graduate,Business,1844903,153041,381897,0.39,2563164,0.3,18,3,1,1,1,0,0,1,0,0
76,43,Female,Undergraduate,Business,1564330,192952,198591,0.23,957056,0.52,23,11,1,1,1,0,0,1,0,1
77,60,Male,Post-Graduate,Professional,2550125,82739,606241,0.31,1809543,0.51,14,10,1,1,1,0,1,1,0,1
78,41,Male,Post-Graduate,Self-Employed,2184974,335732,594092,0.5,1909803,0.23,29,3,1,0,1,1,1,1,1,0
79,36,Male,Post-Graduate,Self-Employed,1286141,407857,126286,0.77,1786066,0.08,23,41,1,1,1,1,0,1,0,0
80,38,Female,Post-Graduate,Business,2098199,38536,508753,0.7,2988392,0.33,2,48,1,1,0,0,0,0,0,0
81,44,Female,Undergraduate,Business,2290886,483126,67275,0.76,965962,0.31,6,50,1,1,1,0,0,1,1,0
82,46,Female,Undergraduate,Salaried,2371703,286690,254490,0.39,2218394,0.1,20,5,1,0,1,0,0,1,0,0
83,45,Male,Graduate,Business,1352149,387573,292462,0.27,1010422,0.49,7,58,1,1,0,1,1,1,1,0
84,61,Male,Post-Graduate,Salaried,2308021,417318,636356,0.07,1290747,0.21,8,15,1,1,1,1,1,1,1,0
85,49,Female,Graduate,Salaried,1716130,371039,172750,0.61,672547,0.41,10,58,1,0,1,0,1,1,1,0
86,35,Male,Undergraduate,Salaried,784260,372667,626993,0.77,844969,0.11,13,48,1,1,0,0,1,1,1,0
87,21,Female,Post-Graduate,Business,784737,281173,737729,0.85,1895827,0.52,27,50,1,0,0,0,1,0,0,0
88,45,Male,Undergraduate,Business,1392491,188617,618905,0.48,1853539,0.46,1,6,1,0,0,1,0,1,1,1
89,27,Female,Graduate,Salaried,567204,414538,370459,0.88,2922748,0.26,5,4,1,0,0,0,1,0,0,1
90,29,Male,Undergraduate,Professional,1528742,251049,702528,0.23,2164411,0.4,25,23,1,0,0,1,1,0,0,0
91,44,Male,Post-Graduate,Business,2526623,379173,327461,0.51,2224514,0.15,2,45,1,1,0,0,1,0,1,1
92,21,Female,Post-Graduate,Self-Employed,1403997,391292,553861,0.24,1492090,0.59,4,1,1,1,0,1,1,0,1,0
93,64,Female,Graduate,Professional,1394186,284798,615527,0.22,1679491,0.49,24,56,1,1,0,0,1,0,1,1
94,28,Female,Post-Graduate,Self-Employed,2469320,66663,330226,0.91,2571499,0.48,12,34,1,1,0,1,0,1,1,0
95,44,Female,Undergraduate,Business,606042,478717,374664,0.79,2709724,0.13,5,15,1,1,0,1,1,1,0,0
96,31,Female,Undergraduate,Professional,305589,200759,454295,0.06,2843455,0.06,24,4,1,0,0,0,0,1,1,0
97,37,Male,Undergraduate,Business,2933052,148580,577172,0.29,2125489,0.37,15,27,1,1,1,0,1,0,0,1
98,28,Female,Undergraduate,Business,2444763,258413,798757,0.23,770779,0.13,10,13,1,1,0,0,1,1,0,0
99,55,Female,Graduate,Professional,2065259,188931,217419,0.18,860562,0.48,26,55,1,0,0,1,0,0,1,0
100,55,Female,Undergraduate,Business,1341095,241946,253803,0.68,1005738,0.28,17,46,1,1,0,0,0,1,1,1
101,53,Male,Graduate,Professional,2611615,32132,379931,0.56,431579,0.24,14,47,1,1,0,0,0,1,0,1
102,25,Female,Undergraduate,Business,2671187,337944,513392,0.46,206417,0.09,7,40,1,1,1,1,1,0,0,1
103,62,Female,Graduate,Salaried,1048658,419241,199812,0.22,1273869,0.6,22,32,1,1,0,1,1,0,0,1
104,59,Female,Undergraduate,Self-Employed,2721389,383797,164297,0.3,2539498,0.58,2,9,1,0,0,1,0,1,0,0
105,61,Male,Undergraduate,Salaried,2054230,126722,587103,0.37,524557,0.12,23,37,1,0,1,1,1,1,1,0
106,48,Male,Graduate,Business,2383336,390034,223963,0.76,78901,0.23,3,25,1,1,0,0,0,0,0,1
107,27,Female,Post-Graduate,Business,2644520,247949,364710,0.94,1367452,0.26,4,57,1,0,0,1,1,1,0,0
108,29,Male,Post-Graduate,Business,645961,218096,735273,0.22,1655938,0.21,16,3,0,0,0,0,1,0,0,0
109,28,Female,Post-Graduate,Salaried,564336,248734,629148,0.36,2080353,0.56,16,39,1,1,0,1,0,0,1,0
110,32,Male,Graduate,Business,1841187,469140,180134,0.3,318311,0.45,27,40,0,1,0,0,1,0,0,0
111,54,Female,Post-Graduate,Professional,2053787,393029,562099,0.09,2907868,0.58,22,16,0,0,0,1,0,0,0,1
112,53,Male,Post-Graduate,Self-Employed,1336284,339751,444554,0.25,1605608,0.53,3,17,1,0,0,1,0,1,0,1
113,43,Female,Graduate,Business,1132792,166042,193854,0.86,1988100,0.46,17,27,1,0,0,0,0,0,1,0
114,44,Female,Post-Graduate,Business,625396,319880,318758,0.81,399988,0.43,26,10,1,1,0,0,1,0,1,0
115,57,Male,Post-Graduate,Self-Employed,2263659,221062,116269,0.2,2066732,0.53,17,53,1,1,0,1,0,0,1,0
116,55,Female,Post-Graduate,Self-Employed,1053205,279984,500207,0.38,2336703,0.43,22,1,1,0,0,0,0,0,1,0
117,64,Female,Graduate,Self-Employed,852960,301798,51806,0.33,956330,0.15,20,51,1,0,1,0,0,0,0,1
118,60,Female,Graduate,Salaried,2925196,349529,421018,0.18,332202,0.41,7,50,1,0,0,0,0,1,0,0
119,42,Female,Post-Graduate,Salaried,535437,455624,126993,0.61,1443955,0.33,25,29,1,0,0,0,0,0,0,0
120,47,Male,Post-Graduate,Business,2241935,227011,248361,0.55,2148587,0.59,8,18,1,1,0,1,1,0,0,0
121,55,Female,Graduate,Self-Employed,2616678,217039,90126,0.43,1422898,0.33,19,52,1,1,1,1,1,0,0,0
122,21,Male,Post-Graduate,Business,1337577,163514,83792,0.82,2414604,0.07,7,32,1,1,0,1,1,0,0,0
123,55,Male,Graduate,Business,2991470,206315,682266,0.61,2702553,0.2,1,37,1,1,0,0,0,1,1,1
124,57,Male,Post-Graduate,Business,858335,147702,399828,0.28,1963336,0.55,16,43,1,1,0,0,1,0,0,1
125,34,Male,Graduate,Salaried,2338154,450952,366505,0.39,2625603,0.58,18,33,1,1,1,0,1,1,1,1
126,23,Female,Undergraduate,Self-Employed,1615884,23008,610610,0.19,2665190,0.45,25,59,1,1,0,1,0,1,1,1
127,21,Female,Undergraduate,Business,2692918,188559,780867,0.58,1699806,0.08,26,22,1,1,0,0,0,0,0,0
128,25,Male,Graduate,Salaried,1122412,340539,717268,0.58,2658694,0.06,8,43,1,1,0,0,1,1,0,1
129,46,Female,Undergraduate,Professional,1269242,143465,114627,0.83,1108071,0.31,7,11,1,1,0,0,0,0,1,1
130,34,Male,Post-Graduate,Professional,2254536,497896,769003,0.82,1914839,0.6,27,37,1,1,1,0,1,1,1,0
131,59,Female,Graduate,Business,1957552,459187,464418,0.8,603561,0.53,10,29,1,1,0,0,0,0,1,0
132,47,Female,Graduate,Business,2346001,89627,666516,0.54,2155268,0.56,2,20,1,1,1,0,0,1,0,0
133,29,Female,Post-Graduate,Self-Employed,2027548,229063,644390,0.64,960430,0.39,15,22,0,1,1,1,1,0,1,1
134,35,Male,Post-Graduate,Self-Employed,2475218,372498,670843,0.75,2844975,0.52,14,32,1,0,1,0,0,0,0,0
135,35,Male,Graduate,Business,2597100,78657,653846,0.13,2967930,0.23,2,50,1,0,0,0,1,1,0,1
136,46,Female,Post-Graduate,Salaried,1206379,346796,563229,0.32,802529,0.07,7,8,1,1,0,1,1,1,0,1
137,62,Male,Graduate,Business,1540220,342651,224792,0.2,1100974,0.56,23,22,0,0,0,0,0,0,0,0
138,33,Male,Post-Graduate,Self-Employed,857331,402151,351806,0.51,2446727,0.17,22,15,0,0,0,1,0,1,1,0
139,52,Female,Graduate,Self-Employed,1780614,136162,614138,0.8,1478743,0.45,26,35,1,0,0,0,1,0,0,0
140,59,Male,Post-Graduate,Salaried,1539072,301788,291322,0.26,2779765,0.41,12,16,1,0,1,0,0,0,0,1
141,52,Female,Post-Graduate,Business,1532526,492831,174825,0.71,1259148,0.14,5,52,1,1,1,0,1,1,0,0
142,24,Female,Undergraduate,Self-Employed,788896,497079,397432,0.42,1389168,0.16,6,44,1,0,1,0,0,0,1,1
143,50,Female,Undergraduate,Business,2483050,46122,347541,0.86,1438968,0.23,16,29,1,1,0,0,0,1,0,0
144,57,Male,Undergraduate,Self-Employed,1062717,406613,402784,0.61,1571181,0.47,12,34,0,0,0,0,1,1,1,0
145,43,Female,Post-Graduate,Professional,2266116,195641,201688,0.93,103512,0.07,9,20,1,1,0,1,0,1,1,0
146,59,Female,Graduate,Professional,2487186,390600,539690,0.27,1744882,0.27,20,57,1,1,1,1,0,0,1,0
147,35,Male,Post-Graduate,Professional,918211,245657,770694,0.88,76652,0.42,12,52,1,1,0,1,0,1,1,0
148,63,Male,Undergraduate,Self-Employed,2931713,87948,187733,0.37,429876,0.14,10,13,1,1,0,0,0,1,0,0
149,49,Male,Post-Graduate,Salaried,2815398,62133,238101,0.61,314075,0.12,17,56,1,0,1,1,0,1,0,1
150,56,Male,Undergraduate,Professional,1213851,58519,731407,0.21,111590,0.26,25,51,1,1,1,1,0,0,0,0
151,33,Female,Undergraduate,Self-Employed,876748,81057,482259,0.73,1513927,0.21,24,13,1,0,0,0,0,1,1,0
152,52,Male,Graduate,Business,1721523,39151,551747,0.93,2353566,0.41,11,31,1,1,1,0,0,1,0,1
153,27,Male,Graduate,Professional,1086228,406688,227514,0.76,1363506,0.58,18,21,1,1,0,0,1,0,1,0
154,42,Male,Undergraduate,Salaried,1425515,323913,338087,0.6,416254,0.05,4,50,1,0,0,0,0,1,1,0
155,48,Male,Undergraduate,Salaried,773789,146553,84487,0.45,806062,0.55,3,30,1,1,0,0,0,1,1,0
156,22,Female,Post-Graduate,Salaried,450111,442193,649057,0.36,734118,0.29,19,57,1,1,1,0,0,0,1,0
157,62,Male,Undergraduate,Business,2411169,423099,119023,0.43,2616632,0.42,6,48,1,0,0,1,0,0,0,1
158,26,Female,Post-Graduate,Business,1431477,229987,484735,0.35,2457521,0.52,23,25,1,1,1,1,0,1,0,0
159,48,Male,Undergraduate,Salaried,609169,34265,61416,0.8,518514,0.37,8,30,1,0,1,0,0,0,0,1
160,48,Female,Graduate,Salaried,999614,324888,137789,0.85,1807672,0.1,7,10,0,0,1,0,1,0,0,1
161,64,Female,Graduate,Salaried,2312355,379071,154766,0.9,494370,0.13,15,7,1,1,1,0,1,0,0,0
162,64,Male,Undergraduate,Business,357943,392886,592472,0.43,546295,0.48,12,34,1,0,1,1,1,0,1,0
163,40,Female,Post-Graduate,Business,2566640,295800,661283,0.54,1045126,0.18,15,4,0,0,0,1,1,0,0,1
164,50,Male,Post-Graduate,Self-Employed,825799,19304,458714,0.57,1436468,0.36,9,22,1,1,0,0,0,0,0,0
165,31,Female,Post-Graduate,Professional,382151,358760,119798,0.64,1944841,0.29,2,57,1,1,0,1,0,0,1,0
166,48,Female,Undergraduate,Business,2887493,55911,345058,0.05,840923,0.22,26,29,1,1,0,1,0,0,1,1
167,45,Female,Undergraduate,Salaried,2055830,53013,573666,0.81,1456422,0.48,20,54,1,1,1,0,1,0,1,1
168,59,Male,Graduate,Professional,848513,87981,758340,0.29,2574314,0.45,15,4,1,1,1,1,0,1,1,1
169,53,Female,Graduate,Business,2811214,50314,442106,0.47,2213026,0.41,18,1,1,1,0,0,0,1,0,0
170,21,Male,Undergraduate,Professional,1192485,295001,215957,0.81,1852542,0.25,13,48,1,1,0,0,0,0,1,1
171,47,Female,Graduate,Self-Employed,1414683,169966,530150,0.95,2878266,0.17,16,23,1,1,0,0,0,0,0,0
172,33,Female,Post-Graduate,Business,2030124,258209,683447,0.77,2805876,0.33,15,23,1,0,1,0,1,1,1,0
173,61,Female,Post-Graduate,Salaried,1671630,441786,604212,0.07,1738133,0.5,11,6,1,0,0,0,0,1,0,0
174,23,Female,Undergraduate,Salaried,2638760,207152,760459,0.38,2416383,0.37,3,51,1,1,0,1,0,1,1,0
175,59,Female,Post-Graduate,Self-Employed,2439682,49420,113113,0.27,2886407,0.58,29,5,0,1,0,0,1,0,0,0
176,26,Female,Undergraduate,Self-Employed,2439151,484804,783057,0.92,250878,0.06,10,23,1,0,0,0,0,1,0,0
177,28,Male,Post-Graduate,Self-Employed,1355185,131015,652147,0.29,1850589,0.6,17,38,1,1,1,0,1,1,0,0
178,47,Male,Undergraduate,Self-Employed,803793,459426,148558,0.9,1416567,0.43,8,7,1,0,0,1,1,0,1,0
179,29,Male,Post-Graduate,Self-Employed,2708618,37734,714888,0.89,2486142,0.51,5,5,1,0,0,0,1,1,0,0
180,57,Female,Post-Graduate,Business,1091583,242004,71441,0.81,1726699,0.23,21,33,1,0,0,0,0,1,0,0
181,53,Male,Graduate,Business,2927846,46219,713886,0.14,844967,0.33,8,26,0,1,0,1,0,1,1,1
182,62,Female,Graduate,Professional,1673398,248105,480377,0.05,2878875,0.49,15,59,1,0,1,0,0,0,0,0
183,64,Male,Graduate,Self-Employed,871350,76972,575332,0.76,531373,0.47,11,21,1,1,0,1,1,1,0,0
184,44,Male,Graduate,Salaried,935665,132775,754247,0.81,323652,0.23,9,34,1,1,1,0,0,1,0,0
185,35,Female,Graduate,Salaried,837421,327957,50961,0.92,440016,0.23,25,26,1,0,0,0,0,0,1,0
186,52,Female,Graduate,Self-Employed,2671505,414223,512501,0.25,1965619,0.41,26,10,1,1,0,1,1,0,0,0
187,52,Male,Undergraduate,Self-Employed,551061,169413,546085,0.71,2179338,0.56,25,2,1,0,1,1,1,0,1,1
188,44,Male,Undergraduate,Self-Employed,549336,237622,417964,0.52,2956437,0.29,2,20,1,1,0,0,1,0,1,0
189,61,Male,Graduate,Self-Employed,1572149,452627,233038,0.35,2454318,0.24,7,14,1,1,0,0,1,1,0,1
190,32,Male,Undergraduate,Self-Employed,1685401,214159,329117,0.6,2246488,0.54,16,54,1,1,0,0,1,0,1,1
191,59,Female,Graduate,Salaried,1068021,350793,264980,0.54,2786915,0.43,7,53,1,0,0,0,0,1,0,0
192,22,Male,Undergraduate,Professional,2189353,189503,552551,0.31,975532,0.26,4,7,1,1,0,1,1,1,0,0
193,23,Female,Post-Graduate,Self-Employed,2169646,112715,151293,0.29,1815033,0.08,5,10,1,1,0,1,1,0,1,0
194,57,Female,Undergraduate,Self-Employed,2942085,276985,570044,0.49,1583340,0.45,14,31,1,1,0,1,0,1,1,0
195,37,Male,Undergraduate,Self-Employed,312521,443945,473894,0.48,437834,0.24,22,8,1,1,1,0,0,0,0,1
196,22,Female,Undergraduate,Business,1173846,223710,592632,0.32,2943300,0.09,7,58,1,1,1,1,1,1,0,0
197,22,Male,Post-Graduate,Salaried,1214864,356791,750514,0.29,2817912,0.39,13,1,1,0,0,0,1,0,1,0
198,48,Female,Graduate,Salaried,1124653,348773,282450,0.91,1973497,0.23,18,29,1,1,1,0,0,1,0,1
199,43,Female,Undergraduate,Professional,1448707,345226,644853,0.83,2558541,0.24,10,31,0,1,0,0,1,1,0,0
200,57,Male,Undergraduate,Business,2676219,67804,66272,0.79,792002,0.31,2,8,0,0,0,1,1,0,0,1
201,52,Female,Post-Graduate,Business,906049,238407,229685,0.24,2052849,0.44,13,16,1,1,0,0,0,1,0,0
202,53,Female,Graduate,Business,2754971,62006,438306,0.22,1611682,0.2,2,46,1,0,1,1,1,1,0,0
203,21,Male,Undergraduate,Professional,2363590,424800,284071,0.78,2213791,0.09,29,19,1,1,1,0,0,0,0,0
204,39,Female,Post-Graduate,Professional,785693,396726,116455,0.22,2385317,0.28,15,26,1,1,0,1,1,0,0,0
205,22,Female,Graduate,Professional,2041142,463807,354850,0.5,1726265,0.08,5,10,1,0,0,0,0,0,1,1
206,64,Male,Graduate,Business,835506,270888,346670,0.25,2785191,0.43,22,18,1,0,1,0,1,0,1,0
207,46,Male,Undergraduate,Salaried,483761,422577,714723,0.39,1504471,0.58,11,2,1,1,1,0,0,1,0,0
208,52,Female,Undergraduate,Business,921436,352164,361655,0.82,1884180,0.41,6,37,1,1,0,0,0,0,0,1
209,26,Female,Undergraduate,Professional,568860,188943,631026,0.85,1142112,0.2,19,29,1,1,1,0,1,0,1,0
210,52,Female,Undergraduate,Business,1080736,140328,129791,0.95,2011580,0.15,28,2,1,1,0,0,1,0,1,0
211,24,Male,Post-Graduate,Self-Employed,1626808,254056,51440,0.9,138851,0.18,15,52,1,0,0,0,0,1,0,0
212,31,Female,Post-Graduate,Business,855289,24101,421559,0.65,1095945,0.17,4,3,1,0,1,0,1,0,0,1
213,37,Female,Undergraduate,Business,1846914,445990,772615,0.44,54439,0.22,7,24,1,1,0,0,1,1,1,1
214,58,Female,Graduate,Salaried,1764376,242856,432504,0.1,194220,0.1,23,9,1,1,0,0,0,1,1,0
215,44,Female,Undergraduate,Salaried,1741742,445917,749573,0.6,1646224,0.54,22,43,0,1,0,0,0,0,1,1
216,25,Female,Graduate,Salaried,2427310,23261,682017,0.24,2505336,0.54,17,48,1,1,0,1,1,0,1,1
217,54,Female,Graduate,Self-Employed,2927045,154281,651936,0.82,447220,0.39,10,14,1,0,0,0,1,0,1,0
218,26,Male,Graduate,Salaried,798342,38647,701207,0.54,2928963,0.08,22,46,1,1,0,0,1,0,0,1
219,42,Male,Post-Graduate,Self-Employed,1351897,149293,511049,0.71,2725129,0.49,29,54,1,0,1,0,0,0,0,0
220,31,Female,Graduate,Professional,1269205,451049,196003,0.66,2277236,0.08,17,52,1,1,1,0,1,1,0,0
221,36,Female,Graduate,Salaried,2977485,357557,169773,0.36,291901,0.11,11,43,1,0,0,0,1,0,0,0
222,53,Male,Post-Graduate,Business,2275013,35557,618550,0.73,2881095,0.23,21,11,1,1,1,0,1,1,0,0
223,29,Male,Graduate,Business,790226,239606,403165,0.81,1391273,0.29,22,50,1,1,0,0,1,1,1,1
224,26,Male,Graduate,Self-Employed,1344569,410742,303902,0.72,1339052,0.24,16,43,1,1,0,0,1,1,0,1
225,36,Female,Undergraduate,Salaried,2275986,113585,598875,0.75,2290763,0.14,7,24,1,0,0,0,1,1,1,1
226,49,Female,Graduate,Business,1601561,142323,411427,0.37,313748,0.11,8,14,1,0,0,0,1,1,0,0
227,23,Female,Graduate,Professional,2245548,42588,214112,0.9,2551706,0.52,16,51,1,0,1,1,0,1,0,0
228,40,Female,Graduate,Salaried,2027750,195564,357687,0.43,962431,0.25,16,18,1,1,0,0,0,1,1,0
229,56,Male,Graduate,Professional,2660114,16889,401321,0.86,11933,0.17,25,36,1,0,0,1,1,1,1,0
